Product,Materials,Sound Absorption (NRC),Sound Blocking (CAC),Light Reflectance(),Sag/Humidity Resistance,Fire Performance
ACOUSTIBUILT Seamless Acoustical Ceiling System,Mineral Fiber,0.8,46,87,HUMIGUARD Plus,Class A (UL)
ARMATUFF,Mineral Fiber,0.5,35,87,HUMIGUARD Plus,Class A (UL)
SINCERUS Linear UV Air Purification System,,,,,,
VIDASHIELD UV24 Air Purification System,,,,,,
BACKSTAGE NOIR,Mineral Fiber,0.75,30,,HUMIGUARD Plus,Class A
CALLA HEALTH ZONE AIRASSURE,Mineral Fiber,0.8,40,85,HUMIGUARD Plus,Class A
CALLA,Mineral Fiber,0.85,39,85,HUMIGUARD Plus,"Class A (25/450), Class A (UL)"
CALLA Shapes for DESIGNFLEX,Mineral Fiber,0.8,35,85,HUMIGUARD Plus,Class A
CALLA HEALTH ZONE,Mineral Fiber,0.8,38,85,HUMIGUARD Plus,Class A
CALLA High NRC,Mineral Fiber,0.9,35,85,HUMIGUARD Plus,Class A
CALLA High CAC,Mineral Fiber,0.8,40,85,HUMIGUARD Plus,Class A
CALLA PRIVASSURE,Mineral Fiber,0.8,50,85,HUMIGUARD Plus,Class A (UL)
CALLA VECTOR,Mineral Fiber,0.8,33,85,HUMIGUARD Plus,Class A (UL)
TECHZONE with CALLA Field Panels,Mineral Fiber,0.85,39,85,HUMIGUARD Plus,Class A (UL)
CANYON,Mineral Fiber,0.65,35,80,HUMIGUARD Plus,Class A (UL)
CANYON for PRELUDE XL Max,,0.65,35,80,HUMIGUARD Plus,Class A
CASTWORKS METAPHORS Ceiling Panels,Glass Fiber Reinforced Gypsum (GRG),,,79,,Class A
CASTWORKS METAPHORS Coffers,Glass Fiber Reinforced Gypsum (GRG),,,,Standard,Class A
CERAMAGUARD,Mineral Fiber,,40,86,HUMIGUARD Max,Fire Resistive
CERAMAGUARD FINE FISSURED,Mineral Fiber,0.55,40,79,HUMIGUARD Max,Fire Resistive
CIRRUS,Mineral Fiber,0.7,40,86,"HUMIGUARD Plus, Standard","Class A (UL), Fire Resistive"
CIRRUS High NRC,Mineral Fiber,0.75,35,84,"HUMIGUARD Plus, Standard",Class A (UL)
CIRRUS Profiles,Mineral Fiber,0.65,35,85,"HUMIGUARD Plus, Standard",Class A (UL)
CIRRUS SECOND LOOK,Mineral Fiber,0.65,35,85,Standard,Class A (UL)
CIRRUS THEMES,Mineral Fiber,,,85,Standard,Class A (UL)
CLEAN ROOM  FL,Mineral Fiber,0.55,35,79,HUMIGUARD Plus,Class A (UL)
CLEAN ROOM  VL,Mineral Fiber,,40,80,Standard,Fire Resistive
CLEAN ROOM FL for PRELUDE XL Max,,0.55,35,79,HUMIGUARD Plus,Class A
CORTEGA,Mineral Fiber,0.55,40,80,Standard,"Class A (UL), Fire Resistive"
CORTEGA SECOND LOOK,Mineral Fiber,0.55,40,81,Standard,"Class A (UL), Fire Resistive"
DESIGNER,Mineral Fiber,0.55,33,81,Standard,Class A (UL)
DESIGNSTACKZ Ceiling System,Mineral Fiber,0.8,32,85,HUMIGUARD Plus,Class A
DUNE,Mineral Fiber,0.5,35,81,"HUMIGUARD Plus, Standard","Class A (UL), Fire Resistive"
DUNE SECOND LOOK,Mineral Fiber,0.5,35,81,HUMIGUARD Plus,Class A (UL)
FELTWORKS Blades - VARAFFIX Reinforced Rectangular,Felt (Recycled PET),0.85,,79,Inherent,Class A
FELTWORKS Acoustical Ceiling Panels,Felt (PET),,,78,"HUMIGUARD Plus, Inherent",Class A (25/450)
FELTWORKS Blades - HookOn Ebbs & Flows Kits,Felt (Recycled PET),0.85,,,,Class A (25/450)
FELTWORKS Blades - HookOn Peaks & Valleys Kits,Felt (Recycled PET),0.85,,,,Class A (25/450)
FELTWORKS Blades - HookOn Rectangular Panels,Felt (Recycled PET),null,,,,Class A (25/450)
FELTWORKS Open Cell Ebbs & Flows Kits,Felt (Recycled PET),0.8,,,,Class A (25/450)
FELTWORKS Open Cell Peaks & Valleys Kits,Felt (Recycled PET),0.8,,,,Class A (25/450)
FELTWORKS Open Cell Rectangles Kits,Felt (Recycled PET),0.8,,,,Class A (25/450)
SCHOOL ZONE FINE FISSURED AIRASSURE,Mineral Fiber,0.7,45,82,HUMIGUARD Plus,Class A
CERAMAGUARD FINE FISSURED,Mineral Fiber,0.55,40,79,HUMIGUARD Max,Fire Resistive
FINE FISSURED,Mineral Fiber,0.7,40,82,"HUMIGUARD Plus, Standard","Class A, Class A (UL), Fire Resistive"
FINE FISSURED High NRC,Mineral Fiber,0.75,35,85,"HUMIGUARD Plus, Standard",Class A (UL)
FINE FISSURED SECOND LOOK,Mineral Fiber,0.55,35,82,HUMIGUARD Plus,"Class A (UL), Fire Resistive"
FINE FISSURED for PRELUDE XL Max,,0.55,35,82,"HUMIGUARD Plus, Standard",Class A
SCHOOL ZONE FINE FISSURED,Mineral Fiber,0.7,40,82,HUMIGUARD Plus,"Class A (UL), Fire Resistive"
FISSURED,Mineral Fiber,0.55,35,79,Standard,Class A (UL)Fire Resistive
GEORGIAN,Mineral Fiber,0.65,35,86,HUMIGUARD PlusStandard,Class A (UL)
GRAPHIS FINETEX,Mineral Fiber,,35,90,Standard,Class A (UL)
GRAPHIS RUSTEX,Mineral Fiber,0.55,30,75,HUMIGUARD Plus,Class A (UL)
CALLA HEALTH ZONE AIRASSURE,Mineral Fiber,0.8,40,85,HUMIGUARD Plus,Class A
ULTIMA HEALTH ZONE AIRASSURE,Mineral Fiber,0.7,40,86,HUMIGUARD Plus,Class A
CALLA HEALTH ZONE,Mineral Fiber,0.8,38,85,HUMIGUARD Plus,Class A
OPTIMA HEALTH ZONE,Fiberglass,0.95,29,86,HUMIGUARD Plus,Class A (UL)
ULTIMA HEALTH ZONE,Mineral Fiber,0.8,38,86,HUMIGUARD Plus,Class A (UL)
ULTIMA HEALTH ZONE CREATE!,Mineral Fiber,0.7,38,,HUMIGUARD Plus,Class A (UL)
INFUSIONS Blades - Concepts,Polycarbonate,,,,Standard,Class A
INFUSIONS Lay-in,Polycarbonate,,,,Standard,Class A
INFUSIONS Accent Canopies,Polycarbonate,,,,Standard,Class A
INFUSIONS Shapes,Polycarbonate,,,,Standard,Class A
INVISACOUSTICS,Mineral Fiber,,,,,
Infill Panels,BioAcousticFiberglassMineral Fiber,0.85,40,85,HUMIGUARD PlusStandard,Class AClass A (UL)
KITCHEN ZONE,Mineral Fiber,,33,89,HUMIGUARD Plus,Class A (UL)
LEDGES,Mineral Fiber,,35,80,Standard,Class A (UL)
LYRA Plant Based (PB),Fiberglass,0.95,,88,HUMIGUARD Plus,Class A (UL)
